sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,total thermal conductivity,Figure of merit Z
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,450,,,,,,0.00070664,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,500,,,,,,0.00082533,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,550,,,,,,0.00094402,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,600,,,,,,0.0010627,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,300,,,,,,0.00072853,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,350,,,,,,0.00081949,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,400,,,,,,0.00091045,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,450,,,,,,0.0010014,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,500,,,,,,0.0010924,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,550,,,,,,0.0011833,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,undefined,600,,,,,,0.0012743,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,350,,,,,,1.171,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,400,,,,,,1.2395,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,450,,,,,,1.308,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,500,,,,,,1.3765,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,550,,,,,,1.445,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27481,YbMg2Sb2,undefined,600,,,,,,1.5135,,,,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,300,,,125710,0.0000079548,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,350,,,116200,0.0000086059,,0.0020287,0.00013213,2.2711,0.27527,,,0.0008932676
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,400,,,106700,0.0000093721,,0.0021165,0.00014084,2.1144,0.37919,,,0.0010009932
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,450,,,97189,0.000010289,,0.0021734,0.00014954,1.9577,0.48311,,,0.0011101803
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,500,,,87683,0.000011405,,0.0021959,0.00015825,1.8011,0.58703,,,0.0012191994
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,550,,,78176,0.000012792,,0.0021789,0.00016695,1.6444,0.69095,,,0.0013250426
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,600,,,68669,0.000014563,,0.0021189,0.00017566,1.4877,0.79487,,,0.0014242791
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,650,,,59162,0.000016903,,,,1.3311,0.89879,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,300,,,97205,0.000010288,,0.0016113,0.00012875,,0.17882,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,350,,,90956,0.000010994,,0.0017475,0.00013861,2.0769,0.30239,,,0.0008413982
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,400,,,84706,0.000011806,,0.001867,0.00014846,1.954,0.42596,,,0.0009554759
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,450,,,78457,0.000012746,,0.0019665,0.00015832,1.8312,0.54953,,,0.001073886
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,500,,,72208,0.000013849,,0.0020424,0.00016818,1.7083,0.6731,,,0.0011955745
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,550,,,65958,0.000015161,,0.0020908,0.00017804,1.5855,0.79667,,,0.0013187007
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,600,,,59709,0.000016748,,0.0021081,0.0001879,1.4626,0.92024,,,0.0014413373
24838,10.1016/s1002-0721(12)60398-6,25087,4c,31232,Eu(Zn1–xCdx)2Sb2_ x=0.1,Eu(Zn0.9Cd0.1)2Sb2,650,,,,,,,,1.3398,1.0438,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,300,,,55743,0.000017939,,,,1.7482,,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,350,,,52227,0.000019147,,0.0013556,0.00016111,1.653,0.295,,,0.0008200847
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,400,,,48710,0.00002053,,0.0014348,0.00017163,1.5578,0.39173,,,0.0009210425
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,450,,,45193,0.000022127,,0.0014994,0.00018215,1.4625,0.48845,,,0.0010252308
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,500,,,41676,0.000023995,,0.0015469,0.00019266,1.3673,0.58517,,,0.0011313538
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,550,,,38159,0.000026206,,0.0015753,0.00020318,1.272,0.68189,,,0.0012384434
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,600,,,34642,0.000028867,,0.001582,0.0002137,1.1768,0.77862,,,0.0013443236
