sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,500,,0.02769,36.114,7.58e-8,0.02606,2.0591,0,0.000023543,5.3975,0.030241,,0
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,550,,0.035174,28.43,8.1e-8,0.023387,1.958,0,0.00003145,4.8124,0.062189,,0
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,600,,0.046725,21.402,8.62e-8,0.020714,1.8636,1e-10,0.000043189,4.2207,0.11168,,0
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,650,,0.063312,15.795,9.14e-8,0.018041,1.7747,2e-10,0.000059914,3.6534,0.17806,,1e-10
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,700,,0.085411,11.708,9.66e-8,0.015368,1.6925,6e-10,0.000082044,3.1508,0.25941,,2e-10
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,750,,0.11281,8.8645,1.018e-7,0.012694,1.6206,1.3e-9,0.00010877,2.7539,0.35326,,5e-10
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,800,,0.14439,6.9257,1.07e-7,0.010021,1.5652,2.7e-9,0.00013755,2.4946,0.45743,,1.1e-9
5919,10.1002/aelm.201600019,2136,6(b),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,850,,,,1.122e-7,,,,0.00016364,,,,
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,300,,,,,,1.8158,,,7.7308,,,
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,350,,0.01695,58.997,6.27e-8,0.029003,1.7253,0,0.000013032,7.2829,0.01028,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,400,,0.021655,46.179,6.67e-8,0.026584,1.6341,0,0.000018468,6.7625,0.0099975,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,450,,0.026599,37.595,7.06e-8,0.024165,1.5362,0,0.000026008,6.1722,0.014638,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,500,,0.032034,31.217,7.45e-8,0.021746,1.4327,0,0.000035244,5.5373,0.028991,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,550,,0.038974,25.658,7.85e-8,0.019327,1.3296,1e-10,0.000046237,4.8945,0.056327,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,600,,0.048823,20.482,8.24e-8,0.016907,1.2349,2e-10,0.000059324,4.2819,0.099388,,0
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,650,,0.063015,15.869,8.63e-8,0.014488,1.1561,4e-10,0.000074938,3.7275,0.16137,,1e-10
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,700,,0.082647,12.1,9.03e-8,0.012069,1.0976,7e-10,0.000093406,3.239,0.24692,,2e-10
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,750,,0.10811,9.2498,9.42e-8,0.0096499,1.0581,1.4e-9,0.00011477,2.7925,0.36311,,5e-10
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,800,,0.13875,7.2072,9.81e-8,0.0072307,1.028,2.7e-9,0.00013858,2.3222,0.52043,,1.1e-9
