sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,450,,28507,0.000035079,,,,,1.263,0.00021409,0.81314,0.71998,,1.5532380648
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,500,,27122,0.00003687,,,,,1.2804,0.00022065,0.79994,0.8233,,1.6006200465
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,550,,25737,0.000038855,,,,,1.2978,0.00022596,0.78674,0.92663,,1.6495919872
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,600,,24351,0.000041066,,,,,1.3152,0.00023059,0.77354,1.03,,1.700235282
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,650,,22966,0.000043543,,,,,1.3326,0.00023545,0.76034,1.1333,,1.7526369782
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,350,,24635,0.000040593,,,,,1.4191,0.00023995,0.86285,0.58587,,1.6446659327
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,400,,23764,0.00004208,,,,,1.3959,0.00024232,0.84279,0.67437,,1.6562844837
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,450,,22893,0.000043681,,,,,1.3726,0.00024469,0.82273,0.76288,,1.6683480607
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,500,,22022,0.000045409,,,,,1.3494,0.00024706,0.80268,0.85139,,1.6811182538
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,550,,21152,0.000047277,,,,,1.3261,0.00024943,0.78262,0.9399,,1.6944366359
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,600,,20281,0.000049307,,,,,1.3029,0.0002518,0.76256,1.0284,,1.7085868653
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,650,,19410,0.00005152,,,,,1.2796,0.00025417,0.74251,1.1169,,1.7233437933
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,350,,25014,0.000039978,,,,,2.282,0.00030274,0.83636,1.0121,,2.7284901239
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,400,,24124,0.000041452,,,,,2.1603,0.00029901,0.81683,1.0838,,2.6447363589
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,450,,23234,0.00004304,,,,,2.0386,0.00029527,0.79731,1.1555,,2.5568473994
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,500,,22343,0.000044757,,,,,1.917,0.00029154,0.77778,1.2271,,2.4647072437
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,550,,21453,0.000046614,,,,,1.7953,0.0002878,0.75826,1.2988,,2.3676575317
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,600,,20563,0.000048631,,,,,1.6736,0.00028407,0.73874,1.3705,,2.2654790589
1653,10.1016/j.jallcom.2010.03.170,17340,3,20830,x=0.84,Ag0.84Sb1.16Te2.16,650,,19672,0.000050834,,,,,1.552,0.00028033,0.71921,1.4422,,2.1579232769
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,350,,26812,0.000037297,,,,,1.8621,0.00026305,0.80274,0.86509,,2.3196800957
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,400,,26170,0.000038212,,,,,1.8101,0.00026228,0.78788,0.9543,,2.2974310809
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,450,,25527,0.000039174,,,,,1.7582,0.00026151,0.77301,1.0435,,2.274485453
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,500,,24885,0.000040185,,,,,1.7063,0.00026075,0.75815,1.1327,,2.2506100376
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,550,,24243,0.000041249,,,,,1.6543,0.00025998,0.74328,1.2219,,2.2256753848
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,600,,23601,0.000042371,,,,,1.6024,0.00025922,0.72841,1.3111,,2.199859969
1653,10.1016/j.jallcom.2010.03.170,17340,3,20831,x=0.87,Ag0.87Sb1.13Te2.13,650,,22958,0.000043558,,,,,1.5505,0.00025845,0.71355,1.4004,,2.1729381263
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,350,,23127,0.00004324,,,,,1.6971,0.00027064,0.80481,0.7367,,2.1086964625
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,400,,23321,0.00004288,,,,,1.6805,0.00026823,0.79312,0.85308,,2.1188470849
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,450,,23515,0.000042526,,,,,1.6639,0.00026582,0.78144,0.96946,,2.1292741605
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,500,,23709,0.000042178,,,,,1.6473,0.00026341,0.76976,1.0858,,2.1400176678
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,550,,23903,0.000041836,,,,,1.6307,0.000261,0.75808,1.2022,,2.151092233
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,600,,24098,0.000041497,,,,,1.6142,0.00025859,0.7464,1.3186,,2.1626473741
