sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,350,,,107830,0.0000092738,0.0032527,-0.00017368,1.8779,0.60623,0.0017320944
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,400,,,76324,0.000013102,0.0028013,-0.00019158,1.6145,0.69404,0.0017350883
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,450,,,56850,0.00001759,0.0024937,-0.00020944,1.4373,0.78075,0.0017349892
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,500,,,43975,0.00002274,0.002288,-0.0002281,1.3065,0.87562,0.0017512438
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,550,,,35008,0.000028565,0.0021166,-0.00024589,1.2045,0.96648,0.0017572437
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,600,,,28549,0.000035028,0.0019255,-0.0002597,1.1289,1.0234,0.0017056427
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,650,,,23817,0.000041986,0.0016876,-0.00026619,1.0863,1.0098,0.0015535303
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,700,,,20356,0.000049125,0.0014059,-0.0002628,1.0858,0.90636,0.0012948057
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,750,,,17888,0.000055903,0.0011088,-0.00024897,1.1328,0.73411,0.0009788136
860,10.1039/c1ee01314a,51,7,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,800,,,,,,,1.2221,,
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,350,,,490200,0.00000204,0.0018608,-0.000061611,3.8835,0.1677,0.0004791554
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,400,,,381530,0.000002621,0.002133,-0.00007477,3.3131,0.25752,0.0006438079
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,450,,,302450,0.0000033063,0.0024423,-0.000089862,2.8805,0.38154,0.0008478736
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,500,,,246730,0.000004053,0.0026522,-0.00010368,2.5373,0.52264,0.0010452844
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,550,,,205210,0.0000048731,0.0027314,-0.00011537,2.2521,0.66705,0.0012128236
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,600,,,171960,0.0000058153,0.0027132,-0.00012561,2.0072,0.81104,0.0013517338
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,650,,,143980,0.0000069453,0.0026544,-0.00013578,1.7954,0.96099,0.0014784449
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,700,,,120090,0.0000083273,0.0026017,-0.00014719,1.6168,1.1264,0.0016091663
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,750,,,99950,0.000010005,0.0025648,-0.00016019,1.4753,1.3039,0.0017384939
860,10.1039/c1ee01314a,88,2,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,800,,,83465,0.000011981,0.0025113,-0.00017346,1.3757,1.4604,0.0018254707
860,10.1039/c1ee01314a,51,7,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,850,,,,,,,1.3203,,
860,10.1039/c1ee01314a,8,3,30,Pb1Te0.9972I0.0028,Pb1Te0.9972I0.0028,300,,,594920,0.0000016809,,,,,
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,350,,,285890,0.0000034978,0.0026931,-0.000097057,2.6894,0.35048,0.0010013758
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,400,,,207090,0.0000048288,0.0026946,-0.00011407,2.275,0.47378,0.0011844396
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,450,,,157330,0.000006356,0.0027231,-0.00013156,1.9815,0.61842,0.0013742619
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,500,,,124950,0.000008003,0.0027617,-0.00014867,1.757,0.78591,0.001571827
