sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,800,,,20476,-0.0002584,1.3471,0.69114,,0.0000488377,0.001367194,0.0010149165
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,850,,,19324,-0.00026691,1.2548,0.74368,,0.0000517491,0.0013766601,0.0010971151
18596,10.1002/aenm.201700099,25448,2d,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,300,,,,-0.0001733,,,,,,
18596,10.1002/aenm.201700099,25448,2d,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,900,,,,-0.00027542,1.1626,,,,,
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,300,,,58381,,,,,0.0000171289,,
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,350,,,55201,-0.00015622,2.2438,0.28663,,0.0000181156,0.0013471632,0.0006003936
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,400,,,52022,-0.00016638,2.1286,0.35979,,0.0000192226,0.0014400888,0.0006765427
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,450,,,48842,-0.00017653,2.0134,0.43295,,0.0000204742,0.0015220555,0.0007559628
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,500,,,45663,-0.00018669,1.8982,0.50611,,0.0000218996,0.0015914997,0.0008384257
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,550,,,42483,-0.00019685,1.783,0.57927,,0.0000235388,0.001646213,0.0009232826
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,600,,,39303,-0.00020701,1.6678,0.65243,,0.0000254434,0.001684257,0.0010098675
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,650,,,36124,-0.00021717,1.5526,0.72559,,0.0000276824,0.0017037093,0.0010973266
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,700,,,32944,-0.00022732,1.4374,0.79876,,0.0000303545,0.0017023609,0.0011843334
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,750,,,29764,-0.00023748,1.3222,0.87192,,0.0000335976,0.0016785929,0.0012695454
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,800,,,26585,-0.00024764,1.207,0.94508,,0.0000376152,0.0016303403,0.0013507376
18596,10.1002/aenm.201700099,25446,2c,31685,Pb1−xSbxTe. x=1.0%,Pb1−xSbxTe. x=1.0%,850,,,23405,-0.0002578,1.0919,1.0182,,0.0000427259,0.001555516,0.0014245956
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,350,,,162700,-0.00010338,3.1086,0.23083,,0.0000061463,0.0017388439,0.0005593656
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,400,,,149000,-0.00011535,2.9115,0.31846,,0.0000067114,0.0019825378,0.0006809335
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,450,,,135300,-0.00012732,2.7143,0.40609,,0.000007391,0.0021932647,0.0008080407
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,500,,,121600,-0.00013929,2.5171,0.49371,,0.0000082237,0.0023592472,0.0009372878
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,550,,,107910,-0.00015126,2.32,0.58134,,0.000009267,0.0024689363,0.0010641967
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,600,,,94210,-0.00016323,2.1228,0.66897,,0.0000106146,0.0025101343,0.0011824639
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,650,,,80512,-0.0001752,1.9257,0.7566,,0.0000124205,0.0024713191,0.0012833354
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,700,,,66815,-0.00018717,1.7285,0.84423,,0.0000149667,0.0023407038,0.0013541821
18596,10.1002/aenm.201700099,25446,2c,31686,Pb1−xSbxTe_ x= 1.25%,Pb0.9875Sb0.0125Te,750,,,53118,-0.00019914,1.5313,0.93186,,0.000018826,0.0021064867,0.0013756199
