sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,500,,12918,,0.00074631,-0.00023598,0.87225,0.46578,0.0000774114,0.0008556148
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,550,,13415,,0.00081809,-0.00024412,0.87569,0.54578,0.0000745434,0.0009342233
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,600,,13911,,0.00088988,-0.00025225,0.87914,0.62578,0.0000718856,0.0010122165
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,650,,14408,,0.00096167,-0.00026038,0.88258,0.70578,0.0000694059,0.0010896123
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,700,,14904,,0.0010335,-0.00026851,0.88603,0.78578,0.0000670961,0.0011664391
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,750,,15401,,0.0011052,-0.00027664,0.88947,0.86578,0.0000649308,0.0012425377
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,350,,19637,,0.00095186,-0.0002167,1.0606,0.31938,0.0000509243,0.0008974731
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,400,,20472,,0.0010942,-0.00022617,1.0383,0.47974,0.0000488472,0.001053838
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,450,,21307,,0.0012366,-0.00023564,1.0159,0.64009,0.0000469329,0.0012172458
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,500,,22142,,0.001379,-0.00024511,0.99357,0.80044,0.000045163,0.0013879244
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,550,,22977,,0.0015213,-0.00025458,0.97123,0.96079,0.0000435218,0.0015663643
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,600,,23812,,0.0016637,-0.00026405,0.94888,1.1211,0.0000419956,0.0017533302
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,650,,24647,,0.0018061,-0.00027352,0.92654,1.2815,0.0000405729,0.0019492952
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,700,,25482,,0.0019484,-0.00028298,0.9042,1.4418,0.0000392434,0.002154833
21294,10.1073/pnas.1711725114,19701,FS1(a),24316,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,Mg3.1Mo0.1Sb1.5Bi0.49Te0.01,750,,26317,,0.0020908,-0.00029245,0.88186,1.6022,0.0000379983,0.0023708979
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,350,,16213,,0.0007747,-0.00021531,1.03,0.27928,0.0000616789,0.0007521359
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,400,,16955,,0.00090802,-0.00022585,1.0074,0.42456,0.0000589797,0.00090135
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,450,,17697,,0.0010413,-0.0002364,0.98482,0.56985,0.0000565068,0.0010573506
