sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,89.5,4.2518e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,90,4.2516e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,90.5,4.2515e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,91,4.2513e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,91.5,4.2511e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,92,4.2509e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,92.5,4.2507e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,93,4.2505e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,93.5,4.2503e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,94,4.2502e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,94.5,4.25e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,95,4.2498e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,95.5,4.2496e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,96,4.2494e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,96.5,4.2492e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,97,4.249e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,97.5,4.2489e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,98,4.2487e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,98.5,4.2485e+24,,,,,,,
