sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,2.5e+25,0.093881,,0.000072109,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,3e+25,0.08634,,0.000063993,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,3.5e+25,0.078799,,0.000055877,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,4e+25,0.071259,,0.000047762,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,4.5e+25,0.063718,,0.000039646,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,5e+25,0.056177,,0.00003153,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,5.5e+25,0.048637,,0.000023414,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,5e+24,0.06769,,,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,1e+25,0.06364,,0.00010387,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,1.5e+25,0.05959,,0.000098394,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,2e+25,0.05554,,0.00009292,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,2.5e+25,0.051489,,0.000087446,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,3e+25,0.047439,,0.000081972,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,3.5e+25,0.043389,,0.000076498,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,4e+25,0.039339,,0.000071023,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,4.5e+25,0.035288,,0.000065549,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,5e+25,0.031238,,0.000060075,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,5.5e+25,0.027188,,0.000054601,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,6e+25,0.023137,,0.000049127,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33462,p-type PbSe,PbSe,,6.5e+25,0.019087,,0.000043653,,,,,
16681,10.1073/pnas.1111419109,26680,5a,33462,p-type PbSe,PbSe,,7e+25,,,0.000038179,,,,,
16681,10.1073/pnas.1111419109,26680,5a,33462,p-type PbSe,PbSe,,7.5e+25,,,0.000032705,,,,,
16681,10.1073/pnas.1111419109,26680,5a,33462,p-type PbSe,PbSe,,8e+25,,,0.00002723,,,,,
16681,10.1073/pnas.1111419109,26680,5a,33462,p-type PbSe,PbSe,,8.5e+25,,,0.000021756,,,,,
16681,10.1073/pnas.1111419109,26680,5a,33462,p-type PbSe,PbSe,,9e+25,,,0.000016282,,,,,
