sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,600,0.000012968,,0.94392,0.0021086,0.00016456,1.7567,0.72858,77112.8932757557,0.0012003188
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,650,0.000012458,,0.98033,0.0022652,0.00017363,1.8907,0.75421,80269.7062128753,0.0011980748
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,700,0.000011947,,1.0167,0.0024218,0.00018271,2.0246,0.77983,83703.0216790826,0.0011961869
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,750,0.000011436,,1.0531,0.0025784,0.00019179,2.1586,0.80546,87443.1619447359,0.0011944779
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,800,0.000010926,,1.0895,0.002735,0.00020087,2.2926,0.83109,91524.8032216731,0.0011929687
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,50,0.00002475,0.00022886,,0.00038672,0.000075048,,,40404.0404040404,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,100,0.000024018,0.000215,,0.00044421,0.00008035,,,41635.4400866017,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,150,0.000023286,0.00020115,,0.0005017,0.000085653,,,42944.2583526582,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,200,0.000022553,,,0.00055919,0.000090956,,,44339.9991132,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,250,0.000021821,,,0.00061668,0.000096258,,,45827.4139590303,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,300,0.000021088,,,0.00067417,0.00010156,,,47420.3338391502,
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,350,0.000020356,,0.82622,0.00073166,0.00010686,0.98935,0.41618,49125.5649439969,0.0007395361
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,400,0.000019624,,0.88401,0.00078915,0.00011217,1.1626,0.40273,50958.0105992662,0.0006787803
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,450,0.000018891,,0.94179,0.00084664,0.00011747,1.3359,0.38927,52935.2601768038,0.00063376
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,500,0.000018159,,0.99957,0.00090413,0.00012277,1.5092,0.37582,55069.1117352277,0.000599079
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,550,0.000017427,,1.0573,0.00096162,0.00012807,1.6825,0.36237,57382.2229873185,0.0005715423
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,600,0.000016694,,1.1151,0.0010191,0.00013338,1.8557,0.34892,59901.7611117767,0.0005491728
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,650,0.000015962,,1.1729,0.0010766,0.00013868,2.029,0.33547,62648.790878336,0.0005306062
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,700,0.000015229,,1.2307,0.0011341,0.00014398,2.2023,0.32202,65664.1933153851,0.0005149616
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,750,0.000014497,,1.2885,0.0011916,0.00014928,2.3756,0.30857,68979.7889218459,0.0005015996
4605,10.1039/c4cp01294a,25686,2(a),32007,(In2Te3)x(GeTe)3-3x_ x=0.20,(In2Te3)0.2(GeTe)2.4,800,0.000013765,,1.3463,0.0012491,0.00015459,2.5489,0.29512,72648.0203414457,0.0004900545
