sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,400,,0.000011703,,1.2994,0.0001752,1.6204,0.73132,85448.1756814492,0.0026228352,0.0016186344
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,450,,0.000012512,,1.1996,0.00019057,1.5837,0.95064,79923.273657289,0.0029025675,0.0018327761
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,500,,0.00001332,,1.0999,0.00020594,1.5469,1.17,75075.0750750751,0.0031840303,0.0020583298
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,550,,0.000014129,,1.0002,0.00022131,1.5102,1.3893,70776.4172977564,0.0034664956,0.0022953884
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,600,,0.000014937,,0.90041,0.00023669,1.4735,1.6086,66947.8476266988,0.0037505628,0.0025453429
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,650,,0.000015746,,0.80067,0.00025206,1.4368,1.8279,63508.1925568398,0.004034945,0.0028082858
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,700,,0.000016554,,0.70092,0.00026743,1.4001,2.0472,60408.3605170956,0.0043203338,0.0030857323
27942,10.1039/c9ee00317g,25669,5(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,300,,,,,,1.6938,,,,
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,350,,0.000015859,,0.97358,0.00019281,1.3337,0.58543,63055.6781638187,0.0023441387,0.0017576207
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,400,,0.000020138,,0.97864,0.00020594,1.3342,0.76175,49657.3641871089,0.0021060326,0.0015784984
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,450,,0.000023128,,0.98371,0.00021907,1.3347,0.93807,43237.6340366655,0.002075046,0.001554691
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,500,,0.00002483,,0.98877,0.0002322,1.3352,1.1144,40273.8622633911,0.0021714394,0.0016263027
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,550,,0.000025242,,0.99383,0.00024533,1.3357,1.2907,39616.5121622692,0.0023843914,0.001785125
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,600,,0.000024365,,0.99889,0.00025846,1.3363,1.467,41042.4789657295,0.0027417021,0.0020517115
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,650,,0.0000222,,1.004,0.00027159,1.3368,1.6434,45045.045045045,0.0033225733,0.0024854678
27942,10.1039/c9ee00317g,25667,4(a),31985,BiyGe1.04-yTe_ y=0.07,undefined,700,,0.000018745,,1.009,0.00028471,1.3373,1.8197,53347.5593491598,0.0043243416,0.0032336362
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,350,,0.000030672,,1.0703,0.00023194,1.1471,0.55074,32603.025560772,0.0017539177,0.0015290016
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,400,,0.000030578,,1.0175,0.00024012,1.1823,0.67284,32703.2507031199,0.0018855914,0.0015948502
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,450,,0.000030485,,0.96478,0.00024831,1.2176,0.79493,32803.0178776447,0.0020225638,0.0016611069
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,500,,0.000030391,,0.91202,0.00025649,1.2528,0.91703,32904.4782994966,0.0021646909,0.0017278822
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,550,,0.000030297,,0.85926,0.00026468,1.288,1.0391,33006.5683070931,0.0023122917,0.0017952576
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,600,,0.000030203,,0.8065,0.00027286,1.3232,1.1612,33109.2937787637,0.0024650723,0.0018629628
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,650,,0.000030109,,0.75375,0.00028105,1.3585,1.2833,33212.660666246,0.0026234383,0.0019311286
27942,10.1039/c9ee00317g,25667,4(a),31986,BiyGe1.04-yTe_ y=0.09,undefined,700,,0.000030015,,0.70099,0.00028923,1.3937,1.4054,33316.6749958354,0.0027870729,0.0019997653
27942,10.1039/c9ee00317g,25670,5(a)(lattice),31986,BiyGe1.04-yTe_ y=0.09,undefined,300,,,,1.1231,,,0.42865,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.3e+26,,0.0088842,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.35e+26,,0.0088437,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.4e+26,,0.0088033,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.45e+26,,0.0087629,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.5e+26,,0.0087225,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.55e+26,,0.0086821,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.6e+26,,0.0086416,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.65e+26,,0.0086012,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.7e+26,,0.0085608,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.75e+26,,0.0085204,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.8e+26,,0.0084799,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.85e+26,,0.0084395,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.9e+26,,0.0083991,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,3.95e+26,,0.0083587,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4e+26,,0.0083183,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.05e+26,,0.0082778,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.1e+26,,0.0082374,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.15e+26,,0.008197,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.2e+26,,0.0081566,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.25e+26,,0.0081162,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.3e+26,,0.0080757,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.35e+26,,0.0080353,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.4e+26,,0.0079949,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.45e+26,,0.0079545,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.5e+26,,0.007914,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.55e+26,,0.0078736,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.6e+26,,0.0078332,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.65e+26,,0.0077928,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.7e+26,,0.0077524,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.75e+26,,0.0077119,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.8e+26,,0.0076715,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.85e+26,,0.0076311,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.9e+26,,0.0075907,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,4.95e+26,,0.0075503,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5e+26,,0.0075098,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.05e+26,,0.0074694,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.1e+26,,0.007429,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.15e+26,,0.0073886,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.2e+26,,0.0073482,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.25e+26,,0.0073077,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.3e+26,,0.0072673,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.35e+26,,0.0072269,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.4e+26,,0.0071865,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.45e+26,,0.007146,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.5e+26,,0.0071056,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.55e+26,,0.0070652,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.6e+26,,0.0070248,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.65e+26,,0.0069844,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.7e+26,,0.0069439,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.75e+26,,0.0069035,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.8e+26,,0.0068631,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.85e+26,,0.0068227,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.9e+26,,0.0067823,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,5.95e+26,,0.0067418,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,6e+26,,0.0067014,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,6.05e+26,,0.006661,,,,,,,
27942,10.1039/c9ee00317g,26367,4(d),33039,Ge1+xTe,undefined,,6.1e+26,,0.0066206,,,,,,,
