sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,350,,466860,0.000080506,7.1311,0.17632,,0.000002142,0.0030258205,0.0004243133
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,400,,441140,0.000088438,6.9538,0.24503,,0.0000022669,0.0034502794,0.0004961718
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,450,,415420,0.000096371,6.7764,0.31375,,0.0000024072,0.0038581591,0.0005693523
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,500,,389700,0.0001043,6.5991,0.38247,,0.0000025661,0.0042393476,0.000642413
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,550,,363970,0.00011224,6.4217,0.45119,,0.0000027475,0.0045852277,0.0007140208
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,600,,338250,0.00012017,6.2444,0.51991,,0.0000029564,0.0048846104,0.0007822385
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,650,,312530,0.0001281,6.067,0.58862,,0.0000031997,0.0051284954,0.0008453099
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,700,,286800,0.00013603,5.8897,0.65734,,0.0000034868,0.0053069933,0.0009010634
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,750,,261080,0.00014397,5.7123,0.72606,,0.0000038302,0.0054114994,0.0009473416
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,800,,235360,0.0001519,5.535,0.79478,,0.0000042488,0.0054306048,0.0009811391
