sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,750,22444,0.00016272,0.00058428,0.49965,0.73124,0.24974,0.0000445553,0.0011693786
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,800,20282,0.00017079,0.0006073,0.48306,0.80885,0.24076,0.0000493048,0.0012571937
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,850,18119,0.00017887,0.00063032,0.46648,0.88647,0.23178,0.0000551907,0.0013512262
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,900,15957,0.00018695,0.00065335,0.4499,0.96408,0.2228,0.0000626684,0.0014522116
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,350,45845,0.000076821,0.0003107,0.68447,0.089134,0.29512,0.0000218126,0.0004539279
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,400,43152,0.000087811,0.00033459,0.66629,0.15967,0.28655,0.0000231739,0.0005021687
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,450,40458,0.000098206,0.00035847,0.64812,0.2302,0.27799,0.000024717,0.000553092
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,500,37765,0.00010801,0.00038235,0.62995,0.30073,0.26942,0.0000264795,0.0006069529
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,550,35072,0.00011721,0.00040624,0.61178,0.37126,0.26086,0.0000285128,0.0006640296
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,600,32379,0.00012582,0.00043012,0.59361,0.44179,0.25229,0.0000308842,0.0007245835
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,650,29685,0.00013383,0.000454,0.57543,0.51232,0.24372,0.000033687,0.0007889752
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,700,26992,0.00014125,0.00047789,0.55726,0.58286,0.23516,0.000037048,0.000857571
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,750,24299,0.00014808,0.00050177,0.53909,0.65339,0.22659,0.000041154,0.0009307722
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,800,21605,0.0001543,0.00052565,0.52092,0.72392,0.21802,0.0000462856,0.0010090801
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,850,18912,0.00015994,0.00054954,0.50274,0.79445,0.20946,0.0000528765,0.0010930899
7964,10.1039/c2ee22622g,17501,3a,21021,2E21,Bi0.85Ba0.15CuSeO,900,16219,0.00016497,0.00057342,0.48457,0.86498,0.20089,0.0000616561,0.0011833584
