sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,50,0.0012074,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,100,0.0011307,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,150,0.0010539,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,200,0.00097723,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,250,0.00090051,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,300,0.0008238,,,4.2633,,,,
5936,10.1002/aenm.201400600,25511,3a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,900,,,0.00025929,3.5631,,,,
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,350,0.00064209,107140,0.00016131,4.0771,0.25317,0.0000093336,0.002787881,0.0006837902
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,400,0.00058535,101360,0.0001683,4.0267,0.29415,0.0000098658,0.0028710109,0.0007129935
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,450,0.00052861,95592,0.00017529,3.9763,0.33512,0.0000104611,0.0029372156,0.0007386806
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,500,0.00047186,89820,0.00018228,3.926,0.3761,0.0000111334,0.0029843592,0.0007601526
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,550,0.00041512,84048,0.00018927,3.8756,0.41707,0.000011898,0.0030108627,0.0007768765
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,600,0.00035838,78276,0.00019626,3.8252,0.45805,0.0000127753,0.003015034,0.000788203
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,650,0.00030163,72504,0.00020325,3.7748,0.49903,0.0000137923,0.002995181,0.0007934675
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,700,0.00024489,66732,0.00021024,3.7244,0.54,0.0000149853,0.0029496116,0.0007919696
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,750,0.00018815,60960,0.00021723,3.674,0.58098,0.0000164042,0.0028766337,0.0007829705
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,800,0.0001314,55188,0.00022422,3.6236,0.62195,0.0000181199,0.0027745551,0.0007656902
