sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,700,1.8356e+27,0.000014647,0.00028311,0.43433,0.000092033,0.32891,68273.3665597051,0.0005782804
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,750,1.9591e+27,0.000015887,0.00019916,0.38205,0.000099914,0.37485,62944.5458551017,0.0006283633
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,800,2.0826e+27,0.000017127,0.00011521,0.32976,0.00010779,0.42079,58387.3416243358,0.0006783841
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,850,,,,0.27748,,0.46673,,
27920,10.1016/j.jallcom.2018.04.214,25331,6(a),31554,Cu4Mn1.7Fe0.3Te4,undefined,300,,,,,,-0.038596,,
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,350,,0.0000055532,,,0.000031352,0.013201,180076.3523734063,0.0001770057
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,400,,0.0000060291,,,0.000036448,0.034898,165862.2348277521,0.0002203408
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,450,,0.0000065049,,,0.000041544,0.056595,153730.2648772464,0.0002653237
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,500,,0.0000069808,,,0.000046639,0.078292,143250.0573000229,0.000311597
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,550,,0.0000074566,,,0.000051735,0.09999,134109.3796100099,0.0003589451
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,600,,0.0000079325,,,0.000056831,0.12169,126063.6621493854,0.0004071557
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,650,,0.0000084083,,,0.000061926,0.14338,118930.1047774223,0.0004560767
