sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.35e+26,,0.00016265,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.4e+26,,0.00016229,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.45e+26,,0.00016194,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.5e+26,,0.00016159,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.55e+26,,0.00016123,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.6e+26,,0.00016088,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.65e+26,,0.00016053,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.7e+26,,0.00016018,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.75e+26,,0.00015982,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.8e+26,,0.00015947,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.85e+26,,0.00015912,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.9e+26,,0.00015876,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.95e+26,,0.00015841,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4e+26,,0.00015806,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.05e+26,,0.0001577,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.1e+26,,0.00015735,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.15e+26,,0.000157,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.2e+26,,0.00015665,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.25e+26,,0.00015629,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.3e+26,,0.00015594,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.35e+26,,0.00015559,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.4e+26,,0.00015523,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.45e+26,,0.00015488,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.5e+26,,0.00015453,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.55e+26,,0.00015418,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.6e+26,,0.00015382,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.65e+26,,0.00015347,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.7e+26,,0.00015312,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.75e+26,,0.00015276,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.8e+26,,0.00015241,,,,,
