sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,450,2.3757e+26,66458,0.000015047,0.0018434,2.1569,0.0001303,2.6063,0.22942,0.0011283299,0.000432924
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,500,2.4268e+26,60292,0.000016586,0.0016326,1.8651,0.00014254,2.3099,0.29264,0.0012249919,0.0005303225
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,550,2.4779e+26,55169,0.000018126,0.0014218,1.5732,0.0001542,2.0136,0.35586,0.0013117886,0.0006514644
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,600,,50852,0.000019665,,,0.00016528,,,0.0013891484,
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,650,,47159,0.000021205,,,0.00017579,,,0.0014573133,
2795,10.1039/c4ta01957a,11388,4b,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,300,,,,0.0024758,3.0324,0.000090148,3.4953,,,
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,450,4.9079e+26,57964,0.000017252,0.00048779,,,0.92442,0.30981,,
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,500,6.1679e+26,47683,0.000020972,0.00042856,,0.00012372,0.90636,0.4002,0.0007298664,0.0008052721
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,550,7.428e+26,40499,0.000024692,0.00036932,,0.000137,0.8883,0.49058,0.0007601257,0.0008557084
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,600,8.6881e+26,35195,0.000028413,0.00031009,,0.00015028,0.87024,0.58097,0.0007948466,0.0009133649
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,650,9.9482e+26,31121,0.000032133,0.00025085,,0.00016356,0.85218,0.67135,0.0008325451,0.0009769592
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,700,1.1208e+27,27892,0.000035853,0.00019162,,0.00017684,0.83412,0.76174,0.0008722494,0.0010457121
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,750,1.2468e+27,25270,0.000039573,0.00013238,,0.00019012,0.81606,0.85212,0.0009133997,0.00111928
3733,10.1007/s40243-014-0026-5,11780,2b,13994,Cu2Se,Cu2Se,800,,23098,0.000043293,,,0.0002034,0.798,0.94251,0.0009556003,0.0011974941
3733,10.1007/s40243-014-0026-5,11781,2c,13994,Cu2Se,Cu2Se,850,,21270,0.000047014,,,,0.77994,1.0329,,
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,450,1.4266e+26,36102,0.000027699,0.00043068,,,0.82379,0.41379,,
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,500,3.3236e+26,29429,0.00003398,0.00037797,,0.00016271,0.81095,0.48545,0.0007791194,0.0009607489
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,550,5.2207e+26,24838,0.000040261,0.00032526,,0.00017933,0.79812,0.55712,0.0007987714,0.0010008162
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,600,7.1177e+26,21486,0.000046543,0.00027255,,0.00019497,0.78528,0.62878,0.0008167538,0.0010400797
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,650,9.0148e+26,18931,0.000052824,0.00021984,,0.00020955,0.77245,0.70044,0.000831283,0.0010761641
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,700,1.0912e+27,16919,0.000059105,0.00016713,,0.00022298,0.75961,0.7721,0.000841214,0.0011074289
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,750,1.2809e+27,15294,0.000065386,0.00011442,,0.0002352,0.74678,0.84376,0.0008460494,0.0011329299
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,800,1.4706e+27,13953,0.000071668,0.000061709,,0.00024613,0.73394,0.91542,0.0008452724,0.0011516914
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,850,1.6603e+27,12829,0.000077949,0.0000089985,,0.00025568,0.72111,0.98708,0.0008386608,0.0011630136
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,450,6.2244e+26,95229,0.000010501,0.00051956,,,1.2283,0.25229,,
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,500,8.5922e+26,78505,0.000012738,0.00046111,,0.00010369,1.1969,0.33631,0.0008440556,0.0007052015
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,550,1.096e+27,66778,0.000014975,0.00040267,,0.00011428,1.1654,0.42033,0.0008721152,0.0007483398
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,600,1.3328e+27,58096,0.000017213,0.00034423,,0.00012486,1.134,0.50435,0.0009057178,0.0007986929
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,650,1.5696e+27,51414,0.00001945,0.00028579,,0.00013545,1.1026,0.58837,0.0009432774,0.0008555028
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,700,1.8064e+27,46111,0.000021687,0.00022735,,0.00014604,1.0712,0.67239,0.0009834407,0.0009180739
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,750,2.0432e+27,41797,0.000023925,0.00016891,,0.00015662,1.0398,0.75641,0.0010252731,0.0009860291
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,800,2.2799e+27,38223,0.000026162,0.00011047,,0.00016721,1.0084,0.84043,0.0010686839,0.0010597817
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,850,2.5167e+27,35213,0.000028399,0.000052026,,0.0001778,0.97703,0.92444,0.0011131829,0.0011393539
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,300,1.5511e+27,,,,,,,-0.03384,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,350,1.6124e+27,206390,0.0000048451,0.00067221,0.78653,0.000037239,,0.013972,0.0002862099,
