sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall concentration,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,329,45073,21894000000000,-0.00023095,0.83137,0.84636,0.0000221862,0.0024040993,0.0028917321
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,329.5,45037,21926000000000,-0.00023089,0.83214,0.84598,0.000022204,0.0024009311,0.002885249
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,330,45002,21958000000000,-0.00023083,0.83292,0.84561,0.0000222212,0.0023978186,0.0028788102
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,330.5,44967,21990000000000,-0.00023078,0.8337,0.84523,0.0000222385,0.0023949158,0.002872635
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,331,44932,22023000000000,-0.00023072,0.83447,0.84486,0.0000222559,0.0023918076,0.0028662595
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,331.5,44897,22055000000000,-0.00023066,0.83525,0.84448,0.0000222732,0.0023887016,0.0028598642
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,332,44862,22087000000000,-0.0002306,0.83602,0.84411,0.0000222906,0.0023855979,0.0028535177
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,332.5,44827,22120000000000,-0.00023055,0.8368,0.84373,0.000022308,0.0023827031,0.0028473985
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,333,44792,22152000000000,-0.00023049,0.83758,0.84336,0.0000223254,0.0023796037,0.0028410464
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,333.5,44757,22184000000000,-0.00023043,0.83835,0.84298,0.0000223429,0.0023765065,0.0028347427
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,334,44722,22216000000000,-0.00023037,0.83913,0.84261,0.0000223604,0.0023734116,0.0028284194
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,334.5,44687,22249000000000,-0.00023032,0.8399,0.84223,0.0000223779,0.0023705248,0.0028223893
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,335,44652,22281000000000,-0.00023026,0.84068,0.84186,0.0000223954,0.0023674342,0.0028160943
