sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,400,0.000015698,0.0031424,0.00015976,1.2748,0.58454,63702.3824691043,0.0016258923,0.0012754097
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,450,0.000016698,0.0026409,0.00017053,1.285,0.68653,59887.4116660678,0.0017415547,0.0013552955
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,500,0.000017699,0.0021394,0.0001813,1.2952,0.78852,56500.3672523871,0.0018571496,0.0014338709
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,550,0.000018699,0.0016379,0.00019207,1.3055,0.89051,53478.7956575218,0.0019728801,0.0015112065
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,600,0.0000197,0.0011364,0.00020284,1.3157,0.9925,50761.421319797,0.0020885312,0.0015873917
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,650,0.0000207,0.0006349,0.0002136,1.3259,1.0945,48309.1787439614,0.0022041043,0.0016623458
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,700,0.000021701,0.0001334,0.00022437,1.3362,1.1965,46080.8257683978,0.0023197962,0.0017361145
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,750,0.000022701,-0.00036809,0.00023514,1.3464,1.2985,44050.9228668341,0.0024356116,0.0018089807
18654,10.1038/am.2017.8,25605,5(c),31880,BixGe1−xTe_ 1.45e20,undefined,800,,,,1.3566,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,350,,0.0027465,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,400,,0.0023818,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,450,,0.0020171,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,500,,0.0016524,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,550,,0.0012877,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,600,,0.00092296,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,650,,0.00055826,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,700,,0.00019355,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31881,BixGe1−xTe_ 1.06e20,undefined,750,,-0.00017116,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,350,,0.0015304,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,400,,0.0013274,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,450,,0.0011244,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,500,,0.00092145,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,550,,0.00071846,,,,,,
