sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,S,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,410,344.65,,,0.0000040261,,0.0003711,0.46918,0.24236,,0.0029014943,0.0000085811
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,415,356.34,,,0.0000060585,,0.00037166,0.46766,0.24479,,0.0028063086,0.0000129549
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,420,368.03,,,0.0000080909,,0.00037222,0.46614,0.24722,,0.0027171698,0.0000173572
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,425,379.72,,,0.000010123,,0.00037278,0.46461,0.24966,,0.0026335194,0.0000217882
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,430,391.41,,,0.000012156,,0.00037334,0.46309,0.25209,,0.0025548657,0.0000262498
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,435,403.1,,,0.000014188,,0.0003739,0.46157,0.25452,,0.002480774,0.0000307386
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,440,414.79,,,0.000016221,,0.00037446,0.46005,0.25696,,0.0024108585,0.0000352592
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,445,426.48,,,0.000018253,,0.00037503,0.45853,0.25939,,0.0023447758,0.0000398076
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,450,438.17,,,0.000020285,,0.00037559,0.45701,0.26183,,0.0022822192,0.0000443863
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,455,449.86,,,0.000022318,,0.00037615,0.45548,0.26426,,0.0022229138,0.0000489989
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,460,461.55,,,0.00002435,,0.00037671,0.45396,0.26669,,0.0021666125,0.0000536391
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,465,473.24,,,0.000026383,,0.00037727,0.45244,0.26913,,0.0021130927,0.0000583127
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,470,484.93,,,0.000028415,,0.00037783,0.45092,0.27156,,0.0020621533,0.0000630156
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,475,496.62,,,0.000030447,,0.00037839,0.4494,0.27399,,0.002013612,0.0000677503
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,480,508.31,,,0.00003248,,0.00037895,0.44788,0.27643,,0.0019673034,0.0000725194
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,485,520,,,0.000034512,,0.00037951,0.44635,0.27886,,0.0019230769,0.0000773205
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,490,531.69,,,0.000036545,,0.00038008,0.44483,0.2813,,0.0018807952,0.000082155
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,495,543.38,,,0.000038577,,0.00038064,0.44331,0.28373,,0.0018403327,0.0000870204
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,500,555.07,,,0.000040609,,0.0003812,0.44179,0.28616,,0.0018015746,0.0000919192
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,505,566.76,,,0.000042642,,0.00038176,0.44027,0.2886,,0.0017644153,0.0000968542
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,510,578.45,,,0.000044674,,0.00038232,0.43874,0.29103,,0.0017287579,0.0001018234
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,515,590.14,,,0.000046707,,0.00038288,0.43722,0.29346,,0.0016945132,0.0001068272
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,520,601.83,,,0.000048739,,0.00038344,0.4357,0.2959,,0.0016615988,0.0001118637
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,525,613.52,,,0.000050771,,0.000384,0.43418,0.29833,,0.0016299387,0.0001169354
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,530,625.21,,,0.000052804,,0.00038456,0.43266,0.30077,,0.0015994626,0.000122045
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,535,636.9,,,0.000054836,,0.00038513,0.43114,0.3032,,0.0015701052,0.0001271884
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,540,648.59,,,0.000056869,,0.00038569,0.42961,0.30563,,0.0015418061,0.0001323735
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,545,660.28,,,0.000058901,,0.00038625,0.42809,0.30807,,0.001514509,0.0001375902
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,550,671.97,,,0.000060933,,0.00038681,0.42657,0.3105,,0.0014881617,0.0001428441
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,555,683.66,,,0.000062966,,0.00038737,0.42505,0.31293,,0.0014627154,0.0001481379
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,560,695.35,,,0.000064998,,0.00038793,0.42353,0.31537,,0.0014381247,0.0001534673
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,565,707.04,,,0.000067031,,0.00038849,0.42201,0.3178,,0.0014143471,0.0001588375
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,570,718.73,,,0.000069063,,0.00038905,0.42048,0.32024,,0.0013913431,0.000164248
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,575,730.42,,,0.000071095,,0.00038962,0.41896,0.32267,,0.0013690753,0.000169694
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,580,742.11,,,0.000073128,,0.00039018,0.41744,0.3251,,0.0013475091,0.0001751821
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,585,753.8,,,0.00007516,,0.00039074,0.41592,0.32754,,0.0013266118,0.0001807078
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,590,765.49,,,0.000077193,,0.0003913,0.4144,0.32997,,0.0013063528,0.0001862765
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,595,777.18,,,0.000079225,,0.00039186,0.41288,0.3324,,0.0012867032,0.0001918838
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,600,788.87,,,0.000081257,,0.00039242,0.41135,0.33484,,0.001267636,0.0001975374
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,605,800.56,,,0.00008329,,0.00039298,0.40983,0.33727,,0.0012491256,0.0002032306
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,610,812.25,,,0.000085322,,0.00039354,0.40831,0.33971,,0.001231148,0.0002089638
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,615,823.94,,,0.000087355,,0.0003941,0.40679,0.34214,,0.0012136806,0.0002147423
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,620,835.63,,,0.000089387,,0.00039467,0.40527,0.34457,,0.0011967019,0.0002205616
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,625,847.32,,,0.000091419,,0.00039523,0.40374,0.34701,,0.0011801917,0.0002264304
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,630,859.01,,,0.000093452,,0.00039579,0.40222,0.34944,,0.0011641308,0.0002323405
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,635,870.7,,,0.000095484,,0.00039635,0.4007,0.35187,,0.0011485012,0.000238293
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,640,882.39,,,0.000097517,,0.00039691,0.39918,0.35431,,0.0011332857,0.0002442933
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,645,894.08,,,0.000099549,,0.00039747,0.39766,0.35674,,0.0011184681,0.000250337
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,650,905.77,,,0.00010158,,0.00039803,0.39614,0.35918,,0.001104033,0.0002564245
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,655,917.46,,,0.00010361,,0.00039859,0.39461,0.36161,,0.0010899658,0.000262563
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,660,929.15,,,0.00010565,,0.00039915,0.39309,0.36404,,0.0010762525,0.000268768
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,665,940.84,,,0.00010768,,0.00039972,0.39157,0.36648,,0.00106288,0.0002749955
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,670,952.53,,,0.00010971,,0.00040028,0.39005,0.36891,,0.0010498357,0.0002812716
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,675,964.22,,,0.00011174,,0.00040084,0.38853,0.37134,,0.0010371077,0.0002875968
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,680,975.91,,,0.00011378,,0.0004014,0.38701,0.37378,,0.0010246847,0.0002939976
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,685,987.6,,,0.00011581,,0.00040196,0.38548,0.37621,,0.0010125557,0.0003004306
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,690,999.29,,,0.00011784,,0.00040252,0.38396,0.37865,,0.0010007105,0.000306907
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,695,1011,,,0.00011987,,0.00040308,0.38244,0.38108,,0.0009891197,0.0003134348
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,700,1022.7,,,0.00012191,,0.00040364,0.38092,0.38351,,0.0009778039,0.000320041
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,705,1034.4,,,0.00012394,,0.0004042,0.3794,0.38595,,0.000966744,0.0003266737
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,710,1046.1,,,0.00012597,,0.00040477,0.37788,0.38838,,0.0009559316,0.0003333598
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,715,1057.7,,,0.000128,,0.00040533,0.37635,0.39081,,0.0009454477,0.0003401089
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,720,1069.4,,,0.00013003,,0.00040589,0.37483,0.39325,,0.0009351038,0.0003469039
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,725,1081.1,,,0.00013207,,0.00040645,0.37331,0.39568,,0.0009249838,0.000353781
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,730,1092.8,,,0.0001341,,0.00040701,0.37179,0.39812,,0.0009150805,0.0003606875
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,735,1104.5,,,0.00013613,,0.00040757,0.37027,0.40055,,0.0009053871,0.0003676506
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,740,1116.2,,,0.00013816,,0.00040813,0.36874,0.40298,,0.0008958968,0.0003746813
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,745,1127.9,,,0.0001402,,0.00040869,0.36722,0.40542,,0.0008866034,0.0003817875
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,750,1139.6,,,0.00014223,,0.00040926,0.3657,0.40785,,0.0008775009,0.0003889253
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,755,1151.3,,,0.00014426,,0.00040982,0.36418,0.41028,,0.0008685833,0.0003961228
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,760,1163,,,0.00014629,,0.00041038,0.36266,0.41272,,0.0008598452,0.0004033806
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,765,1174.6,,,0.00014833,,0.00041094,0.36114,0.41515,,0.0008513537,0.0004107271
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,770,1186.3,,,0.00015036,,0.0004115,0.35961,0.41759,,0.0008429571,0.0004181196
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,775,1198,,,0.00015239,,0.00041206,0.35809,0.42002,,0.0008347245,0.0004255634
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,780,1209.7,,,0.00015442,,0.00041262,0.35657,0.42245,,0.0008266512,0.0004330706
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,785,1221.4,,,0.00015646,,0.00041318,0.35505,0.42489,,0.0008187326,0.0004406703
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,790,1233.1,,,0.00015849,,0.00041374,0.35353,0.42732,,0.0008109642,0.0004483071
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,795,1244.8,,,0.00016052,,0.00041431,0.35201,0.42975,,0.0008033419,0.0004560098
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,800,1256.5,,,0.00016255,,0.00041487,0.35048,0.43219,,0.0007958615,0.0004637925
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,805,1268.2,,,0.00016459,,0.00041543,0.34896,0.43462,,0.0007885192,0.0004716586
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,810,1279.9,,,0.00016662,,0.00041599,0.34744,0.43706,,0.000781311,0.0004795648
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,815,1291.5,,,0.00016865,,0.00041655,0.34592,0.43949,,0.0007742935,0.0004875405
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,820,1303.2,,,0.00017068,,0.00041711,0.3444,0.44192,,0.0007673419,0.0004955865
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,825,1314.9,,,0.00017272,,0.00041767,0.34288,0.44436,,0.0007605141,0.0005037331
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,830,1326.6,,,0.00017475,,0.00041823,0.34135,0.44679,,0.0007538067,0.0005119379
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,835,1338.3,,,0.00017678,,0.00041879,0.33983,0.44922,,0.0007472166,0.0005202013
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,840,1350,,,0.00017881,,0.00041936,0.33831,0.45166,,0.0007407407,0.0005285389
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,845,1361.7,,,0.00018084,,0.00041992,0.33679,0.45409,,0.0007343761,0.0005369518
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,850,1373.4,,,0.00018288,,0.00042048,0.33527,0.45653,,0.00072812,0.0005454708
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,855,1385.1,,,0.00018491,,0.00042104,0.33374,0.45896,,0.0007219695,0.0005540541
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,860,1396.8,,,0.00018694,,0.0004216,0.33222,0.46139,,0.0007159221,0.0005626994
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,865,1408.4,,,0.00018897,,0.00042216,0.3307,0.46383,,0.0007100256,0.0005714243
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,870,1420.1,,,0.00019101,,0.00042272,0.32918,0.46626,,0.0007041758,0.00058026
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,875,1431.8,,,0.00019304,,0.00042328,0.32766,0.46869,,0.0006984216,0.0005891473
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,880,1443.5,,,0.00019507,,0.00042384,0.32614,0.47113,,0.0006927607,0.0005981174
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,885,1455.2,,,0.0001971,,0.00042441,0.32461,0.47356,,0.0006871908,0.0006071902
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,890,1466.9,,,0.00019914,,0.00042497,0.32309,0.476,,0.0006817097,0.0006163608
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,895,1478.6,,,0.00020117,,0.00042553,0.32157,0.47843,,0.0006763154,0.000625587
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,900,1490.3,,,0.0002032,,0.00042609,0.32005,0.48086,,0.0006710058,0.0006349008
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,905,1502,,,0.00020523,,0.00042665,0.31853,0.4833,,0.000665779,0.0006443035
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,910,1513.7,,,0.00020727,,0.00042721,0.31701,0.48573,,0.0006606329,0.000653828
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,915,1525.3,,,0.0002093,,0.00042777,0.31548,0.48816,,0.0006556087,0.0006634335
