sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,550,0.0018182,65661,0.002202,0.95645,0.0033898,0.00022528,1.5628,1.193,0.0000152297,0.0021690555
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,600,0.0016667,53311,0.0010928,0.86753,0.0033743,0.00024773,1.4121,1.4337,0.0000187579,0.0023895616
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,650,0.0015385,45634,,0.79049,0.0033076,0.00026583,1.301,1.6525,0.0000219135,0.002542352
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,700,0.0014286,40869,,0.72638,0.0031953,0.00027902,1.2219,1.8305,0.0000244684,0.0026150258
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,750,0.0013333,37407,,0.67819,0.0030448,0.00028734,1.1681,1.955,0.000026733,0.0026066261
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,800,0.00125,34289,,0.64856,0.002872,0.00029159,1.1342,2.0257,0.0000291639,0.0025321813
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,850,0.0011765,31694,,0.63755,0.0027083,0.00029346,1.1162,2.0624,0.0000315517,0.0024263573
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,900,0.0011111,31437,,0.64041,0.0026076,0.00029573,1.1121,2.1103,0.0000318097,0.0023447532
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,350,0.0028571,167220,0.0065542,1.4482,0.0023178,0.00011566,2.5364,0.31984,0.0000059801,0.0009138149
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,400,0.0025,133200,0.0054562,1.269,0.0027219,0.00014324,2.1882,0.49756,0.0000075075,0.0012438991
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,450,0.0022222,104460,0.0043583,1.121,0.0029548,0.00017196,1.8778,0.70809,0.000009573,0.0015735435
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,500,0.002,81696,0.0032603,0.99244,0.0030841,0.00019969,1.6243,0.94936,0.0000122405,0.0018987256
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,550,0.0018182,64819,0.0021623,0.87859,0.0031516,0.00022489,1.4332,1.2094,0.0000154276,0.0021989953
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,600,0.0016667,53121,0.0010644,0.7796,0.0031791,0.00024659,1.2998,1.4675,0.0000188249,0.0024458378
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,650,0.0015385,45508,,0.69813,0.0031746,0.00026431,1.2127,1.7016,0.0000219742,0.002617795
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,700,0.0014286,40708,,0.63715,0.0031378,0.00027792,1.1571,1.8982,0.0000245652,0.0027117794
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,750,0.0013333,37480,,0.59763,0.0030661,0.00028763,1.1184,2.0561,0.0000266809,0.0027415057
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,800,0.00125,34826,,0.57631,0.0029606,0.00029387,1.0855,2.1819,0.0000287142,0.0027274067
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,850,0.0011765,32199,,0.56344,0.0028316,0.00029723,1.0543,2.2829,0.0000310569,0.0026857631
14602,10.1038/ncomms12167,1883,2(a),2838,x=8,Pb0.9Na0.02TeSr0.08,900,0.0011111,29719,,0.54049,0.0027047,0.00029835,1.0312,2.3606,0.0000336485,0.0026228666
14602,10.1038/ncomms12167,1886,3(a),2838,x=8,Pb0.9Na0.02TeSr0.08,300,0.0033333,,0.0076522,,,,2.8862,,,
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,300,0.0033333,185320,0.0075388,1.5458,,,2.7056,,0.0000053961,
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,350,0.0028571,155330,0.0064624,1.3013,0.0021761,0.00011568,2.3541,0.32354,0.0000064379,0.0009243872
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,400,0.0025,125760,0.005386,1.1167,0.0026288,0.00014304,2.0301,0.51796,0.0000079517,0.0012949116
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,450,0.0022222,99496,0.0043096,0.97194,0.0028962,0.00017119,1.7476,0.74576,0.0000100507,0.0016572442
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,500,0.002,78042,0.0032333,0.85469,0.0030194,0.00019879,1.5138,0.99729,0.0000128136,0.0019945832
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,550,0.0018182,61791,0.0021569,0.75882,0.003039,0.00022443,1.3303,1.2564,0.0000161836,0.0022844471
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,600,0.0016667,50334,0.0010805,0.68226,0.0029927,0.00024683,1.1941,1.5037,0.0000198673,0.002506239
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,650,0.0015385,42747,,0.62511,0.0029133,0.00026496,1.0995,1.7223,0.0000233935,0.0026496589
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,700,0.0014286,37893,,0.58773,0.0028259,0.00027821,1.0387,1.9044,0.0000263901,0.0027206123
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,750,0.0013333,34715,,0.56876,0.0027461,0.00028655,1.0038,2.0518,0.000028806,0.0027357043
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,800,0.00125,32533,,0.56322,0.0026775,0.00029068,0.98782,2.1684,0.000030738,0.0027105141
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,850,0.0011765,31336,,0.56055,0.0026094,0.0002922,0.98593,2.2496,0.0000319122,0.0026466382
14602,10.1038/ncomms12167,1883,2(a),2839,x=10,Pb0.88Na0.02TeSr0.1,900,0.0011111,32085,,0.5427,0.0025147,0.00029376,0.99696,2.2701,0.0000311672,0.002522368
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,300,0.0033333,193400,,1.5136,,,2.6594,,0.0000051706,
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,350,0.0028571,162060,,1.2812,0.0022468,0.00011677,2.3538,0.33409,0.0000061706,0.0009545416
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,400,0.0025,130730,,1.1127,0.0026743,0.00014414,2.057,0.52004,0.0000076494,0.0013000972
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,450,0.0022222,102890,,0.98325,0.002934,0.00017214,1.7859,0.73929,0.0000097191,0.0016428691
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,500,0.002,80346,,0.87731,0.0030684,0.00019958,1.5513,0.98898,0.0000124462,0.001977954
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,550,0.0018182,63543,,0.78656,0.0031122,0.0002252,1.3594,1.2592,0.0000157374,0.0022893924
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,600,0.0016667,51956,,0.70808,0.0030933,0.00024774,1.2118,1.5316,0.0000192471,0.002552649
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,650,0.0015385,44442,,0.64247,0.0030332,0.00026617,1.1064,1.782,0.0000225012,0.002741504
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,700,0.0014286,39602,,0.59188,0.0029481,0.00027976,1.0386,1.987,0.0000252512,0.0028385326
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,750,0.0013333,36143,,0.55812,0.0028494,0.00028829,1.0014,2.1341,0.0000276679,0.0028454164
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,800,0.00125,33241,,0.54073,0.002744,0.00029216,0.98632,2.2256,0.0000300833,0.0027820586
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,850,0.0011765,30902,,0.53509,0.0026357,0.00029255,0.98431,2.2761,0.0000323604,0.0026777133
14602,10.1038/ncomms12167,1883,2(a),2840,x=12,Pb0.86Na0.02TeSr0.12,900,0.0011111,30321,,0.53049,0.0025252,0.00029158,0.98624,2.3044,0.0000329804,0.0025604315
