sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,350,188620,1.4855,0.0015414,0.000090054,2.8371,0.18438,0.0000053017,0.0005433013
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,400,181650,1.3972,0.0016947,0.000096825,2.8348,0.25024,0.0000055051,0.00059782
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,450,174680,1.309,0.0018481,0.0001036,2.8326,0.3161,0.0000057248,0.0006524395
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,500,167710,1.2208,0.0020015,0.00011037,2.8303,0.38196,0.0000059627,0.0007071689
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,550,160730,1.1326,0.0021548,0.00011714,2.8281,0.44782,0.0000062216,0.000761925
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,600,153760,1.0444,0.0023082,0.00012391,2.8258,0.51369,0.0000065036,0.0008168306
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,650,146790,0.95616,0.0024616,0.00013068,2.8236,0.57955,0.0000068125,0.0008717949
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,700,139820,0.86794,0.0026149,0.00013745,2.8214,0.64541,0.0000071521,0.0009268094
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,750,132850,0.77972,0.0027683,0.00014423,2.8191,0.71127,0.0000075273,0.0009819801
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4367,x=0.2,CeFe3.8Ga0.2Sb12,800,125880,,,,2.8169,,0.0000079441,
3404,10.1016/j.jssc.2012.06.019,3153,4(d),4367,x=0.2,CeFe3.8Ga0.2Sb12,300,,1.5737,0.001388,,2.8393,0.11852,,0.0004888529
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4367,x=0.2,CeFe3.8Ga0.2Sb12,850,,,,,2.8146,,,
