sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,650,167260,0.0068088,0.00022523,8.639,0.50531,0.0000059787,0.0007881468
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,700,142020,0.0064429,0.00023512,8.1676,0.54245,0.0000070413,0.0007888364
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,750,116790,0.0060771,0.00024502,7.6963,0.5796,0.0000085624,0.0007896132
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,800,91562,0.0057113,0.00025491,7.2249,0.61674,0.0000109216,0.0007905023
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,850,66331,0.0053455,0.00026481,6.7536,0.65388,0.0000150759,0.0007915038
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,900,41100,0.0049797,0.0002747,6.2822,0.69102,0.0000243309,0.0007926682
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,950,15869,0.0046139,0.0002846,5.8109,0.72816,0.0000630159,0.0007940078
21244,10.1073/pnas.1617663113,17209,4(B),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,300,,,0.00015596,,,,
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,350,360350,0.0090432,0.00015654,10.833,0.31786,0.0000027751,0.0008347826
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,400,332100,0.0087018,0.00016662,10.385,0.35949,0.0000030111,0.0008379201
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,450,303850,0.0083604,0.00017671,9.9376,0.40112,0.0000032911,0.0008412896
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,500,275600,0.0080191,0.00018679,9.4897,0.44274,0.0000036284,0.000845032
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,550,247360,0.0076777,0.00019688,9.0418,0.48437,0.0000040427,0.000849134
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,600,219110,0.0073363,0.00020696,8.5939,0.526,0.0000045639,0.0008536636
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,650,190860,0.0069949,0.00021705,8.146,0.56762,0.0000052394,0.0008586914
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,700,162620,0.0066535,0.00022713,7.6981,0.60925,0.0000061493,0.0008643042
21244,10.1073/pnas.1617663113,17144,4(F),20644,FeNb0.93Ti0.07Sb,Fe0.99Nb0.92Ti0.07Sb1.01,750,134370,0.0063122,0.00023722,7.2502,0.65088,0.0000074421,0.0008706243
