sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,349.5,0.027041,0.0000065827,0.00007585,2.5155,0.17617,151913.3486259438,0.0008739913,0.0003474424
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,350,0.027017,0.0000065917,0.000075953,2.5105,0.17717,151705.9332190482,0.00087517,0.0003486039
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,350.5,0.026993,0.0000066007,0.000076057,2.5056,0.17816,151499.0834305452,0.0008763718,0.0003497652
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,351,0.026969,0.0000066098,0.000076163,2.5006,0.17916,151290.508033526,0.0008776064,0.0003509583
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,351.5,0.026945,0.0000066189,0.000076269,2.4957,0.18016,151082.5061566121,0.0008788409,0.0003521421
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,352,0.026921,0.0000066281,0.000076376,2.4908,0.18115,150872.7991430425,0.0008800853,0.0003533344
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,352.5,0.026896,0.0000066374,0.000076485,2.4859,0.18215,150661.4035616356,0.0008813625,0.0003545446
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,353,0.026872,0.0000066467,0.000076595,2.481,0.18315,150450.5995456392,0.0008826627,0.0003557689
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,353.5,0.026848,0.0000066561,0.000076705,2.4762,0.18414,150238.1274319797,0.0008839496,0.0003569783
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,354,0.026824,0.0000066655,0.000076817,2.4714,0.18514,150026.254594554,0.0008852826,0.000358211
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,354.5,0.0268,0.000006675,0.000076929,2.4665,0.18613,149812.734082397,0.0008866024,0.0003594577
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,355,0.026776,0.0000066846,0.000077043,2.4618,0.18713,149597.5825030667,0.000887955,0.0003606934
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,355.5,0.026751,0.0000066942,0.000077158,2.457,0.18813,149383.0480117116,0.0008893306,0.0003619579
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,356,0.026727,0.0000067039,0.000077273,2.4522,0.18912,149166.9028475962,0.000890693,0.000363222
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,356.5,0.026703,0.0000067136,0.00007739,2.4475,0.19012,148951.3822688274,0.0008921014,0.000364495
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,357,0.026679,0.0000067234,0.000077508,2.4428,0.19111,148734.2713508047,0.0008935197,0.0003657768
