sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,600,,,13638,0.000073326,,,0.47826,,-0.00016126,0.64491,0.39865,0.0003546533,0.0005499268
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,650,,,12237,0.000081718,,,0.44826,,-0.0001772,0.60225,0.4692,0.0003842398,0.0006380072
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,700,,,11097,0.000090111,,,0.41826,,-0.00019314,0.5596,0.53974,0.0004139521,0.0007397285
21449,10.15541/jim20180249,25310,7(b),31539,Ag0.985In0.015BiSe2,undefined,300,,,43537,0.000022969,,,,,,,-0.024641,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,1e+25,,,,,0.0045788,,,,,,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,1.5e+25,,,,,0.0044803,,,0.00013248,,0.086896,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,2e+25,,,,,0.0043819,,,0.00012633,,0.083714,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,2.5e+25,,,,,0.0042834,,,0.00012017,,0.080531,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,3e+25,,,,,0.0041849,,,0.00011401,,0.077348,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,3.5e+25,,,,,0.0040865,,,0.00010785,,0.074165,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,4e+25,,,,,0.003988,,,0.00010169,,0.070982,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,4.5e+25,,,,,0.0038896,,,0.000095536,,0.067799,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,5e+25,,,,,0.0037911,,,0.000089378,,0.064617,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,5.5e+25,,,,,0.0036926,,,0.00008322,,0.061434,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,6e+25,,,,,0.0035942,,,0.000077062,,,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,6.5e+25,,,,,0.0034957,,,0.000070904,,,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,7e+25,,,,,0.0033973,,,0.000064745,,,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,7.5e+25,,,,,0.0032988,,,0.000058587,,,,
21449,10.15541/jim20180249,26236,6(c),32903,300 K,undefined,,8e+25,,,,,0.0032003,,,0.000052429,,,,
21449,10.15541/jim20180249,26237,6(d),32903,300 K,undefined,,8.5e+25,,,,,,,,0.000046271,,,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,1.5e+25,,,,,0.0034095,,,0.0001625,,,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,2e+25,,,,,0.0032732,,,0.00015743,,0.18978,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,2.5e+25,,,,,0.0031369,,,0.00015236,,0.18869,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,3e+25,,,,,0.0030006,,,0.0001473,,0.1876,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,3.5e+25,,,,,0.0028643,,,0.00014223,,0.18652,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,4e+25,,,,,0.002728,,,0.00013716,,0.18543,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,4.5e+25,,,,,0.0025917,,,0.00013209,,0.18435,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,5e+25,,,,,0.0024554,,,0.00012703,,0.18326,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,5.5e+25,,,,,0.0023191,,,0.00012196,,0.18217,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,6e+25,,,,,0.0021828,,,0.00011689,,0.18109,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,6.5e+25,,,,,0.0020465,,,0.00011183,,0.18,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,7e+25,,,,,0.0019102,,,0.00010676,,0.17891,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,7.5e+25,,,,,0.0017739,,,0.00010169,,,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,8e+25,,,,,0.0016376,,,0.000096626,,,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,8.5e+25,,,,,0.0015013,,,0.000091559,,,,
21449,10.15541/jim20180249,26236,6(c),32904,500 K,undefined,,9e+25,,,,,0.001365,,,0.000086492,,,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.35e+26,,,,,0.00012165,,,,,,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.4e+26,,,,,0.00012133,,,,,0.38816,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.45e+26,,,,,0.000121,,,,,0.38884,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.5e+26,,,,,0.00012068,,,,,0.38952,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.55e+26,,,,,0.00012035,,,,,0.39019,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.6e+26,,,,,0.00012003,,,,,0.39087,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.65e+26,,,,,0.0001197,,,,,0.39154,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.7e+26,,,,,0.00011938,,,,,0.39222,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.75e+26,,,,,0.00011905,,,,,0.3929,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.8e+26,,,,,0.00011872,,,,,0.39357,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.85e+26,,,,,0.0001184,,,,,0.39425,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.9e+26,,,,,0.00011807,,,,,0.39493,,
